request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 on 2025-08-03. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 on 2026-07-05. This leaves at least ZAR 20500 available over the next 90 days.
request_28,275.90,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"Pay EUR 1,302.40 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1100 minimum."
request_29,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-23. No eligible plan meets that deadline while protecting the ZAR 28300 minimum. Baseline safe payment today is ZAR 0. No safe full-payment date was found within 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2468942.75,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,12659.14,affordable_with_plan,full_payment,2025-04-15:40018,,reduce_to:event_2929:1181.4,"Reduce event_2929 to ZAR 1,181.40, then Pay ZAR 40018 on 2025-04-15. This leaves at least ZAR 35700 available over the next 90 days."
request_33,22397.99,affordable_with_plan,full_payment,2026-03-15:118000,,reduce_to:event_2969:2060|reduce_to:event_2968:2240,"Reduce event_2969 to INR 2060, Reduce event_2968 to INR 2240, then Pay INR 118000 on 2026-03-15. This leaves at least INR 102100 available over the next 90 days."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 on 2024-12-04. This leaves at least INR 138500 available over the next 90 days.
request_35,19986.72,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400 minimum.
request_36,559.35,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2400 minimum.
request_37,3785282.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. No eligible plan meets that deadline while protecting the IDR 17056200 minimum. Baseline safe payment today is IDR 3,785,282.71. No safe full-payment date was found within 90 days."
request_38,168.05,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,53836.11,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Pay INR 208600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,339.01,affordable_with_plan,full_payment,2024-08-15:1290.3,,reduce_to:event_3710:36.5,"Reduce event_3710 to EUR 36.50, then Pay EUR 1,290.30 on 2024-08-15. This leaves at least EUR 1500 available over the next 90 days."
request_41,7085058.82,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 on 2026-01-05. This leaves at least INR 113100 available over the next 90 days.
request_43,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. No eligible plan meets that deadline while protecting the IDR 21398000 minimum. Baseline safe payment today is IDR 0. No safe full-payment date was found within 90 days.
request_44,29790.35,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay INR 95800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82900 minimum.
request_45,3161464.50,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11149800 minimum.
