request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 on 2025-08-03. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6167.25,affordable_with_plan,full_payment,2026-07-05:6670,,stop:event_2412,"Stop event_2412, then Pay ZAR 6670 on 2026-07-05. This leaves at least ZAR 20500 available over the next 90 days."
request_28,270.14,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. No eligible plan meets that deadline while protecting the EUR 1100 minimum. Baseline safe payment today is EUR 270.14. No safe full-payment date was found within 90 days.
request_29,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-23. No eligible plan meets that deadline while protecting the ZAR 28300 minimum. Baseline safe payment today is ZAR 0. No safe full-payment date was found within 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2203463.45,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,12602.18,affordable_with_plan,full_payment,2025-04-15:40018,,reduce_to:event_2929:1181.4,"Reduce event_2929 to ZAR 1,181.40, then Pay ZAR 40018 on 2025-04-15. This leaves at least ZAR 35700 available over the next 90 days."
request_33,29394.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. No eligible plan meets that deadline while protecting the INR 102100 minimum. Baseline safe payment today is INR 29,394.67. No safe full-payment date was found within 90 days."
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 on 2024-12-04. This leaves at least INR 138500 available over the next 90 days.
request_35,20782.76,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106400 minimum.
request_36,552.41,affordable_with_plan,full_payment,2026-09-15:3954,,reduce_to:event_3306:64.5,"Reduce event_3306 to USD 64.50, then Pay USD 3954 on 2026-09-15. This leaves at least USD 2400 available over the next 90 days."
request_37,1917727.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. No eligible plan meets that deadline while protecting the IDR 17056200 minimum. Baseline safe payment today is IDR 1,917,727.55. No safe full-payment date was found within 90 days."
request_38,167.68,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,53492.00,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Pay INR 208600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,334.35,affordable_with_plan,full_payment,2024-08-15:1290.3,,reduce_to:event_3710:36.5,"Reduce event_3710 to EUR 36.50, then Pay EUR 1,290.30 on 2024-08-15. This leaves at least EUR 1500 available over the next 90 days."
